pais,categoria_tag,categoria_label,count
ch,unknown,Unknown,50186
ch,other-general-jobs,Sonstige/Allgemeine Stellen,12954
ch,trade-construction-jobs,Stellen aus Handel & Bau,1571
ch,it-jobs,IT-Stellen,1200
ch,manufacturing-jobs,Stellen aus Fertigung,1195
ch,accounting-finance-jobs,Stellen aus Buchhaltung & Finanzwesen,813
ch,engineering-jobs,Technikerstellen,803
ch,healthcare-nursing-jobs,Stellen aus Gesundheitswesen & Pflege,759
ch,hospitality-catering-jobs,Stellen aus Gastronomie & Catering,720
ch,consultancy-jobs,Beraterstellen,587
ch,pr-advertising-marketing-jobs,"Stellen aus PR, Werbung & Marketing",339
ch,logistics-warehouse-jobs,Stellen aus Logistik & Lagerhaltung,306
ch,hr-jobs,Stellen aus Personal & Personalbeschaffung,244
ch,customer-services-jobs,Kundendienststellen,227
ch,sales-jobs,Vertriebsstellen,188
ch,creative-design-jobs,Stellen aus Kreation & Design,182
ch,maintenance-jobs,Stellen aus Wartung,123
ch,admin-jobs,Verwaltungsstellen,108
ch,retail-jobs,Stellen aus Einzelhandel,104
ch,teaching-jobs,Lehrberufe,77
ch,travel-jobs,Stellen aus Tourismus,74
ch,scientific-qa-jobs,Stellen aus Wissenschaft & Qualitätssicherung,70
ch,property-jobs,Immobilienstellen,39
ch,domestic-help-cleaning-jobs,Stellen aus Haushaltshilfen & Reinigung,21
ch,legal-jobs,Juristische Stellen,19
ch,social-work-jobs,Stellen aus Sozialarbeit,9
ch,energy-oil-gas-jobs,Stellen aus Versorgungsunternehmen,6
ch,part-time-jobs,Teilzeitstellen,2
ch,graduate-jobs,Stellen für Hochschulabsolventen,1
ch,charity-voluntary-jobs,Gemeinnützige & ehrenamtliche Stellen,0
de,unknown,Unknown,725881
de,other-general-jobs,Sonstige/Allgemeine Stellen,91805
de,healthcare-nursing-jobs,Stellen aus Gesundheitswesen & Pflege,35990
de,it-jobs,IT-Stellen,34025
de,logistics-warehouse-jobs,Stellen aus Logistik & Lagerhaltung,20201
de,sales-jobs,Vertriebsstellen,17320
de,teaching-jobs,Lehrberufe,16578
de,hospitality-catering-jobs,Stellen aus Gastronomie & Catering,14499
de,graduate-jobs,Stellen für Hochschulabsolventen,14157
de,accounting-finance-jobs,Stellen aus Buchhaltung & Finanzwesen,13047
de,part-time-jobs,Teilzeitstellen,11958
de,consultancy-jobs,Beraterstellen,11602
de,manufacturing-jobs,Stellen aus Fertigung,11272
de,engineering-jobs,Technikerstellen,10184
de,pr-advertising-marketing-jobs,"Stellen aus PR, Werbung & Marketing",9631
de,trade-construction-jobs,Stellen aus Handel & Bau,6561
de,hr-jobs,Stellen aus Personal & Personalbeschaffung,6476
de,maintenance-jobs,Stellen aus Wartung,5713
de,admin-jobs,Verwaltungsstellen,4704
de,retail-jobs,Stellen aus Einzelhandel,4520
de,domestic-help-cleaning-jobs,Stellen aus Haushaltshilfen & Reinigung,3808
de,customer-services-jobs,Kundendienststellen,3234
de,creative-design-jobs,Stellen aus Kreation & Design,2945
de,legal-jobs,Juristische Stellen,1587
de,travel-jobs,Stellen aus Tourismus,1026
de,scientific-qa-jobs,Stellen aus Wissenschaft & Qualitätssicherung,895
de,social-work-jobs,Stellen aus Sozialarbeit,851
de,property-jobs,Immobilienstellen,665
de,energy-oil-gas-jobs,Stellen aus Versorgungsunternehmen,413
de,charity-voluntary-jobs,Gemeinnützige & ehrenamtliche Stellen,152
es,unknown,Unknown,108594
es,other-general-jobs,Otros trabajos,5618
es,it-jobs,Trabajos en informática,3452
es,admin-jobs,Trabajos en administración,1549
es,manufacturing-jobs,Trabajos en fabricación y manufactura,1512
es,accounting-finance-jobs,Trabajos en contabilidad y finanzas,1474
es,domestic-help-cleaning-jobs,Trabajos de limpieza,1452
es,hospitality-catering-jobs,Trabajos en hosteleria y restauración,1309
es,healthcare-nursing-jobs,Trabajos en sanidad y salud,1208
es,pr-advertising-marketing-jobs,"Trabajos en marketing, publicidad y relaciones públicas",1152
es,engineering-jobs,Trabajos en ingeniería,1080
es,consultancy-jobs,Trabajos en consultoría,1061
es,sales-jobs,Trabajos en ventas,937
es,customer-services-jobs,Trabajos en atención al cliente,666
es,trade-construction-jobs,Trabajos en construcción,581
es,logistics-warehouse-jobs,Trabajos en logística y almacén,470
es,creative-design-jobs,Trabajos en diseño y artes gráficas,420
es,teaching-jobs,Trabajos en educación,410
es,hr-jobs,Trabajos en recursos humanos,384
es,maintenance-jobs,Trabajos de mantenimiento,258
es,legal-jobs,Trabajos en legal,157
es,travel-jobs,Trabajos en turismo,138
es,energy-oil-gas-jobs,"Trabajos en energía, petroleo y gas",93
es,retail-jobs,Trabajos en tiendas,90
es,scientific-qa-jobs,Trabajos en ciencias y control de calidad,88
es,property-jobs,Trabajos en inmobiliarias,15
